    n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time
 2750,       1898073,         1895335,         517860,     28008,           0,       7526
 2760,       1909670,         1906922,         519053,     28107,           0,       7552
 2770,       1919851,         1917093,         520215,     28276,           0,       7647
 2780,       1933877,         1931109,         527997,     28395,           0,       7740
 2790,       1946809,         1944031,         528912,     28448,           0,       7639
 2800,       1963566,         1960778,         532605,     28569,           0,       7675
 2810,       1980241,         1977443,         551251,     28722,           0,       7856
 2820,       1990641,         1987833,         547564,     28773,           0,       7740
 2830,       2004815,         2001997,         545508,     28952,           0,       7779
 2840,       2016812,         2013984,         551015,     29091,           0,       7833
 2850,       2029083,         2026245,         552215,     29183,           0,       7875
 2860,       2044884,         2042036,         557958,     29326,           0,       7997
 2870,       2062140,         2059282,         564532,     29406,           0,       7906
 2880,       2072615,         2069747,         578264,     29498,           0,       7990
 2890,       2087532,         2084654,         565729,     29628,           0,       7988
 2900,       2099069,         2096181,         569125,     29743,           0,       7980
 2910,       2113315,         2110417,         579630,     29876,           0,       8166
 2920,       2127112,         2124204,         578084,     29944,           0,       8059
 2930,       2148402,         2145484,         582875,     30075,           0,       8071
 2940,       2162063,         2159135,         591196,     30238,           0,       8151
 2950,       2177780,         2174842,         591831,     30332,           0,       8558
 2960,       2194473,         2191525,         600220,     30424,           0,       8159
 2970,       2211606,         2208648,         605764,     30571,           0,       8239
 2980,       2228675,         2225707,         604880,     30644,           0,       8208
 2990,       2243626,         2240648,         608887,     30782,           0,       8255
 3000,       2259396,         2256408,         612998,     30890,           0,       8275
 3010,       2274821,         2271823,         628726,     31032,           0,       8378
 3020,       2292272,         2289264,         624859,     31155,           0,       8352
 3030,       2304492,         2301474,         627066,     31285,           0,       8554
 3040,       2319133,         2316105,         634177,     31384,           0,       8424
 3050,       2333805,         2330767,         634776,     31493,           0,       8445
 3060,       2350151,         2347103,         639119,     31596,           0,       8475
 3070,       2363240,         2360182,         644078,     31742,           0,       8481
 3080,       2382130,         2379062,         654996,     31817,           0,       8656
 3090,       2396975,         2393897,         652537,     31923,           0,       8553
 3100,       2413943,         2410855,         658013,     32119,           0,       8602
 3110,       2428503,         2425405,         668332,     32195,           0,       8663
 3120,       2444067,         2440959,         668305,     32350,           0,       8659
 3130,       2451082,         2447964,         667451,     32459,           0,       8688
 3140,       2465700,         2462572,         671622,     32549,           0,       8882
 3150,       2482155,         2479017,         676740,     32718,           0,       8759
 3160,       2494604,         2491456,         680473,     32801,           0,       8792
 3170,       2506945,         2503787,         682778,     32914,           0,       8812
 3180,       2522994,         2519826,         690599,     33014,           0,       9363
 3190,       2536922,         2533744,         693733,     33135,           0,       8867
 3200,       2552313,         2549125,         699430,     33290,           0,       8916
 3210,       2567329,         2564131,         700857,     33362,           0,       9081
 3220,       2581987,         2578779,         715123,     33502,           0,       8966
 3230,       2592913,         2589695,         706176,     33652,           0,       9010
 3240,       2610649,         2607421,         710124,     33767,           0,       9027
 3250,       2631565,         2628327,         718549,     33875,           0,       9234
 3260,       2648265,         2645017,         722212,     33989,           0,       9120
 3270,       2662585,         2659327,         728721,     34086,           0,       9264
 3280,       2679044,         2675776,         730215,     34231,           0,       9166
 3290,       2698407,         2695129,         736282,     34356,           0,       9278
 3300,       2717045,         2713757,         740774,     34468,           0,       9381
 3310,       2733458,         2730160,         744686,     34590,           0,       9243
 3320,       2752290,         2748982,         755336,     34696,           0,       9284
 3330,       2772480,         2769162,         757035,     34775,           0,       9307
 3340,       2786136,         2782808,         765420,     34954,           0,       9366
 3350,       2800401,         2797063,         765698,     35057,           0,       9375
 3360,       2814786,         2811438,         769063,     35197,           0,       9420
 3370,       2835012,         2831654,         773983,     35244,           0,       9582
 3380,       2853716,         2850348,         781970,     35429,           0,       9493
 3390,       2872669,         2869291,         787509,     35571,           0,       9706
 3400,       2889308,         2885920,         790900,     35651,           0,       9540
 3410,       2906734,         2903336,         792598,     35764,           0,       9579
 3420,       2921956,         2918548,         821642,     35870,           0,       9592
 3430,       2935799,         2932381,         802876,     35994,           0,       9632
 3440,       2951966,         2948538,         806343,     36150,           0,       9831
 3450,       2970569,         2967131,         813978,     36246,           0,       9687
 3460,       2988532,         2985084,         820678,     36389,           0,       9726
 3470,       3007370,         3003912,         820298,     36469,           0,       9750
 3480,       3019162,         3015694,         825917,     36555,           0,       9900
 3490,       3034368,         3030890,         830905,     36704,           0,       9800
 3500,       3047748,         3044260,         830415,     36839,           0,       9843
 3510,       3070207,         3066709,         840245,     36989,           0,       9893
 3520,       3085252,         3081744,         845689,     37073,           0,      10168
 3530,       3100891,         3097373,         848730,     37207,           0,       9937
 3540,       3122592,         3119064,         861022,     37311,           0,       9948
 3550,       3134178,         3130640,         856352,     37446,           0,       9988
 3560,       3149058,         3145510,         861914,     37543,           0,      10328
 3570,       3170843,         3167285,         867762,     37661,           0,      10050
 3580,       3187855,         3184287,         870374,     37764,           0,      10063
 3590,       3206536,         3202958,         879343,     37909,           0,      10107
 3600,       3219203,         3215615,         881580,     38061,           0,      10302
 3610,       3233969,         3230371,         884094,     38150,           0,      10171
 3620,       3253111,         3249503,         892538,     38284,           0,      10203
 3630,       3264115,         3260497,         893916,     38385,           0,      10392
 3640,       3289496,         3285868,         901993,     38519,           0,      10279
 3650,       3314653,         3311015,         907131,     38611,           0,      10303
 3660,       3337019,         3333371,         910603,     38746,           0,      10342
 3670,       3355172,         3351514,         919419,     38855,           0,      10367
 3680,       3374724,         3371056,         926513,     38994,           0,      10397
 3690,       3390961,         3387283,         930011,     39095,           0,      10486
 3700,       3410008,         3406320,         936535,     39227,           0,      10565
 3710,       3432844,         3429146,         937613,     39377,           0,      10525
 3720,       3450861,         3447153,         944185,     39455,           0,      10532
 3730,       3468400,         3464682,         953774,     39514,           0,      10707
 3740,       3489787,         3486059,         957392,     39679,           0,      10578
 3750,       3510914,         3507176,         959527,     39784,           0,      10650
 3760,       3527438,         3523690,         966298,     39925,           0,      10655
 3770,       3543814,         3540056,         968136,     40051,           0,      10689
 3780,       3564200,         3560432,         978787,     40136,           0,      10722
 3790,       3589203,         3585425,        1002625,     40309,           0,      10762
 3800,       3612990,         3609202,         986223,     40419,           0,      10777
 3810,       3633536,         3629738,        1003323,     40498,           0,      10821
 3820,       3654913,         3651105,         999336,     40646,           0,      10845
 3830,       3675359,         3671541,        1008691,     40743,           0,      10859
 3840,       3690200,         3686372,        1010414,     40885,           0,      10917
 3850,       3708198,         3704360,        1025116,     40997,           0,      10934
 3860,       3727881,         3724033,        1021597,     41120,           0,      10982
 3870,       3748181,         3744323,        1029745,     41226,           0,      10997
 3880,       3767168,         3763300,        1046446,     41353,           0,      11017
 3890,       3784935,         3781057,        1036215,     41485,           0,      11052
 3900,       3806874,         3802986,        1052210,     41619,           0,      11207
 3910,       3824588,         3820690,        1051398,     41714,           0,      11198
 3920,       3842176,         3838268,        1052642,     41864,           0,      11448
 3930,       3857704,         3853786,        1084761,     41926,           0,      11217
 3940,       3879509,         3875581,        1061597,     42133,           0,      11221
 3950,       3903290,         3899352,        1067421,     42216,           0,      11248
 3960,       3923013,         3919065,        1087872,     42307,           0,      11274
 3970,       3946290,         3942332,        1090425,     42438,           0,      14410
 3980,       3961497,         3957529,        1101290,     42552,           0,      11595
 3990,       3980780,         3976802,        1097604,     42635,           0,      11464
