      n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time
 390000,        569756,          179757,          97541,   3668812,           0,    1247006
 391000,        571170,          180171,         101209,   3681007,           0,    1106029
 392000,        572625,          180626,          98834,   3693344,           0,    1120848
 393000,        574081,          181082,          99244,   3706337,           0,    1219455
 394000,        575567,          181568,         104426,   3714645,           0,    1206089
 395000,        576998,          181999,          98413,   3722616,           0,    1152603
 396000,        578438,          182439,         111527,   3730334,           0,    1131475
 397000,        579882,          182883,         100921,   3739323,           0,    1170222
 398000,        581297,          183298,         100126,   3747518,           0,    1124358
 399000,        582733,          183734,          99081,   3756341,           0,    1227806
 400000,        584191,          184192,         103114,   3765633,           0,    1134545
 401000,        585705,          184706,         100711,   3775209,           0,    1141170
 402000,        587170,          185171,         106621,   3784122,           0,    1156550
 403000,        588592,          185593,         101634,   3792710,           0,    1142218
 404000,        590042,          186043,         102690,   3801966,           0,    1146186
 405000,        591539,          186540,         100793,   3811892,           0,    1152784
 406000,        593009,          187010,         102427,   3821038,           0,    1152050
 407000,        594478,          187479,         103197,   3830481,           0,    1183223
 408000,        595918,          187919,         102483,   3840750,           0,    1144861
 409000,        597361,          188362,         103389,   3851401,           0,    1146904
 410000,        598835,          188836,         101905,   3861100,           0,    1187386
 411000,        600288,          189289,         102150,   3869832,           0,    1155975
 412000,        601771,          189772,         108061,   3878684,           0,    1170815
 413000,        603224,          190225,         104755,   3888122,           0,    1205561
 414000,        604674,          190675,         103768,   3898050,           0,    1161506
 415000,        606115,          191116,         104653,   3907318,           0,    1206025
 416000,        607560,          191561,         107511,   3917110,           0,    1185204
 417000,        609068,          192069,         149245,   3927604,           0,    1178600
 418000,        610564,          192565,         104687,   3938579,           0,    1179602
 419000,        612018,          193019,         104900,   3947887,           0,    1174385
 420000,        613445,          193446,         104380,   3957437,           0,    1179767
 421000,        614910,          193911,         104957,   3967919,           0,    1180859
 422000,        616340,          194341,         105849,   3978710,           0,    1182585
 423000,        617815,          194816,         105417,   3989184,           0,    1188426
 424000,        619287,          195288,         105451,   4000464,           0,    1189807
 425000,        620742,          195743,         105530,   4010953,           0,    1190667
 426000,        622233,          196234,         106423,   4023696,           0,    1194952
 427000,        623728,          196729,         109091,   4031478,           0,    1197901
 428000,        625153,          197154,         106481,   4040476,           0,    1233783
 429000,        626614,          197615,         106709,   4049734,           0,    1215993
 430000,        628057,          198058,         106987,   4059831,           0,    1213124
 431000,        629518,          198519,         107297,   4068704,           0,    1209485
 432000,        630977,          198978,         106961,   4079025,           0,    1228586
 433000,        632440,          199441,         107969,   4088754,           0,    1225619
 434000,        633875,          199876,         108157,   4099641,           0,    1219112
 435000,        635349,          200350,         108224,   4109422,           0,    1222108
 436000,        636805,          200806,         108246,   4119309,           0,    1233318
 437000,        638313,          201314,         108567,   4129337,           0,    1233429
 438000,        639805,          201806,         108971,   4140032,           0,    1229383
 439000,        641220,          202221,         109071,   4150078,           0,    1235713
 440000,        642664,          202665,         109450,   4161073,           0,    1236847
